X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha,tail_correction,k_vec
0.2517253333333338,0.25172333333333385,8.502938400000001,-5624.13979226,-445.01533515,-5179.12445711,-4414.42111517,-764.70334194,0.341429,-21026.51913251,13;13;11
0.25172533333333386,0.2517233333333339,9.018268,-2100.61852672,3730.66570971,-5831.28423643,-5078.87174706,-752.41248937,0.341429,-21026.51913251,13;13;11
0.2517253333333339,0.25172333333333397,9.5335976,3633.11007411,9474.54527666,-5841.43520255,-5093.81669911,-747.61850344,0.341429,-21026.51913251,13;13;11
0.2517253333333339,0.25172333333333397,10.048927200000001,5153.04311745,10250.40596206,-5097.36284462,-4340.31706499,-757.04577963,0.341429,-21026.51913251,13;13;11
0.25172533333333397,0.251723333333334,10.5642568,2131.60086824,6382.69406881,-4251.09320057,-3466.45518113,-784.63801944,0.341429,-21026.51913251,13;13;11
0.25172533333333397,0.251723333333334,11.0795864,-1066.46156938,3163.19069379,-4229.65226317,-3401.4132742,-828.23898898,0.341429,-21026.51913251,13;13;11
0.251725333333334,0.2517233333333341,11.594916000000001,-1797.6920998,3510.231592,-5307.92369181,-4427.66535383,-880.25833797,0.341429,-21026.51913251,13;13;11
0.251725333333334,0.2517233333333341,12.1102456,5963.88391834,12837.91887401,-6874.03495567,-5942.35211209,-931.68284359,0.341429,-21026.51913251,13;13;11
0.2517253333333341,0.25172333333333413,12.6255752,25122.61505035,32911.58228624,-7788.96723589,-6812.63421106,-976.33302483,0.341429,-21026.51913251,13;13;11
0.25172533333333336,0.7551700000000001,0.2576648,991558.34761958,1005346.38643789,-13788.03881831,-13048.44449838,-739.59431993,0.341429,-21026.51913251,13;13;11
0.2517253333333334,0.7551700000000001,0.7729944,533626.19262815,541275.96986604,-7649.77723789,-6839.83020738,-809.9470305,0.341429,-21026.51913251,13;13;11
0.2517253333333334,0.7551700000000002,1.2883240000000002,293405.45196165,295833.88534252,-2428.43338087,-1520.88435329,-907.54902757,0.341429,-21026.51913251,13;13;11
0.25172533333333347,0.7551700000000002,1.8036535999999999,138063.06132642,138767.33460716,-704.27328074,319.66828522,-1023.94156597,0.341429,-21026.51913251,13;13;11
0.2517253333333335,0.7551700000000002,2.3189832,120910.48542395,122016.3547288,-1105.86930485,35.06726287,-1140.93656771,0.341429,-21026.51913251,13;13;11
0.2517253333333335,0.7551700000000003,2.8343128,307866.24910663,309705.42662288,-1839.17751625,-603.05269993,-1236.12481632,0.341429,-21026.51913251,13;13;11
0.2517253333333336,0.7551700000000003,3.3496424000000005,369884.41175793,372294.72077629,-2410.30901836,-1120.86743903,-1289.44157933,0.341429,-21026.51913251,13;13;11
0.2517253333333336,0.7551700000000003,3.8649720000000007,125388.04556655,128219.58186752,-2831.53630096,-1543.23931174,-1288.29698923,0.341429,-21026.51913251,13;13;11
0.25172533333333363,0.7551700000000003,4.3803016,21515.90681359,24449.67924908,-2933.77243549,-1703.36691014,-1230.40552534,0.341429,-21026.51913251,13;13;11
0.25172533333333363,0.7551700000000005,4.8956312,2765.65908846,5438.62278041,-2672.96369195,-1548.50104601,-1124.46264595,0.341429,-21026.51913251,13;13;11
0.2517253333333337,0.7551700000000005,5.410960800000001,-1450.48592686,715.88862561,-2166.37455247,-1177.73032586,-988.64422661,0.341429,-21026.51913251,13;13;11
0.25172533333333375,0.7551700000000005,5.926290400000001,-1775.99582652,-129.87667082,-1646.11915571,-799.58611195,-846.53304376,0.341429,-21026.51913251,13;13;11
0.25172533333333375,0.7551700000000006,6.44162,-1506.89226226,-59.93828783,-1446.95397443,-726.18493161,-720.76904282,0.341429,-21026.51913251,13;13;11
0.2517253333333338,0.7551700000000006,6.956949600000001,-2659.13344316,-851.71931091,-1807.41413225,-1180.98222798,-626.43190427,0.341429,-21026.51913251,13;13;11
0.2517253333333338,0.7551700000000006,7.472279200000001,-4399.37482597,-1754.89320046,-2644.48162551,-2077.14885631,-567.3327692,0.341429,-21026.51913251,13;13;11
0.25172533333333386,0.7551700000000006,7.9876088,-5713.42710244,-2128.61512621,-3584.81197623,-3047.3972412,-537.41473504,0.341429,-21026.51913251,13;13;11
0.25172533333333386,0.7551700000000007,8.502938400000001,-6198.19467946,-1975.69134933,-4222.50333013,-3696.03597641,-526.46735372,0.341429,-21026.51913251,13;13;11
0.2517253333333339,0.7551700000000007,9.018268,-5509.45958194,-1158.86518505,-4350.5943969,-3824.12308892,-526.47130797,0.341429,-21026.51913251,13;13;11
0.25172533333333397,0.7551700000000007,9.5335976,-4170.16133268,-116.07424226,-4054.08709042,-3519.55160063,-534.53548978,0.341429,-21026.51913251,13;13;11
0.25172533333333397,0.7551700000000008,10.048927200000001,-3767.78855247,-16.45109698,-3751.3374555,-3200.23645511,-551.10100039,0.341429,-21026.51913251,13;13;11
0.251725333333334,0.7551700000000008,10.5642568,-4731.24700197,-605.79944728,-4125.4475547,-3549.63114162,-575.81641308,0.341429,-21026.51913251,13;13;11
0.251725333333334,0.7551700000000008,11.0795864,-4492.3383519,1302.33890815,-5794.67726005,-5189.47240418,-605.20485587,0.341429,-21026.51913251,13;13;11
0.2517253333333341,0.7551700000000008,11.594916000000001,15764.38105245,24718.74959432,-8954.36854188,-8319.86714093,-634.50140094,0.341429,-21026.51913251,13;13;11
0.2517253333333341,0.7551700000000009,12.1102456,177718.88962695,190740.33532176,-13021.44569481,-12359.17553053,-662.27016428,0.341429,-21026.51913251,13;13;11
0.25172533333333413,0.7551700000000009,12.6255752,745850.68857365,761610.7729892,-15760.08441556,-15066.32858211,-693.75583345,0.341429,-21026.51913251,13;13;11
0.25172533333333336,1.2586166666666667,0.2576648,508915.61011942,538700.95429693,-29785.34417752,-29495.18527639,-290.15890113,0.341429,-21026.51913251,13;13;11
0.2517253333333334,1.2586166666666667,0.7729944,11260617.18663153,11272953.52767411,-12336.34104258,-11950.06452198,-386.2765206,0.341429,-21026.51913251,13;13;11
0.2517253333333334,1.2586166666666667,1.2883240000000002,2821059.69348964,2820609.72071293,449.97277671,1019.80782488,-569.83504817,0.341429,-21026.51913251,13;13;11
0.25172533333333347,1.2586166666666667,1.8036535999999999,1079773.0684007,1076593.92836583,3179.14003487,3997.43106773,-818.29103286,0.341429,-21026.51913251,13;13;11
0.2517253333333335,1.258616666666667,2.3189832,1357445.74019101,1355612.12370277,1833.61648824,2919.78001067,-1086.16352242,0.341429,-21026.51913251,13;13;11
0.2517253333333335,1.258616666666667,2.8343128,6984539.27864741,6983839.59908655,699.67956086,2017.00612817,-1317.32656731,0.341429,-21026.51913251,13;13;11
