X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha
-1.2077478538524629,3.1082967006487956,6.023724094544733,36919.2130458,29713.37753557,7205.83551023,2896.53299942,4309.30251081,0.341429
-1.3177145717388992,3.3197354046598164,6.469925879325823,-382.36735457,1605.62614806,-1987.99350264,-6309.24723581,4321.25373317,0.341429
-1.4276812896253361,3.531174108670838,6.916127664106916,3185541.2765485,3188279.60217965,-2738.32563115,-6380.21048521,3641.88485406,0.341429
-1.5376480075117727,3.7426128126818594,7.362329448888007,10026382.90840247,10028149.72603154,-1766.81762906,-4109.62816926,2342.81054019,0.341429
-1.6476147253982092,3.9540515166928802,7.808531233669098,1792885.17165387,1795435.70732534,-2550.53567147,-3102.48415266,551.9484812,0.341429
-1.757581443284646,4.1654902207039015,8.254733018450189,8949880.39258589,8954494.8600664,-4614.46748052,-3048.38929836,-1566.07818215,0.341429
-1.8675481611710822,4.376928924714923,8.70093480323128,583673.07950054,590490.79372361,-6817.71422307,-2984.68311409,-3833.03110898,0.341429
-1.9775148790575192,4.588367628725944,9.147136588012373,44223.42264149,53327.46738736,-9104.04474587,-3024.46709601,-6079.57764986,0.341429
-2.0874815969439555,4.799806332736965,9.593338372793463,-7558.99707922,3670.00656681,-11229.00364603,-3065.20954217,-8163.79410386,0.341429
-2.197448314830392,5.011245036747987,10.039540157574553,-14260.95061467,-1294.66589106,-12966.28472361,-2982.97256494,-9983.31215866,0.341429
-2.307415032716829,5.222683740759008,10.485741942355647,-15695.54432943,-1444.21286586,-14251.33146357,-2771.26826501,-11480.06319856,0.341429
-2.417381750603265,5.434122444770028,10.931943727136737,-16296.50139684,-1186.64930514,-15109.8520917,-2472.06976813,-12637.78232357,0.341429
-2.5273484684897016,5.6455611487810495,11.378145511917827,-16592.56265987,-981.6214456,-15610.94121427,-2137.53763734,-13473.40357693,0.341429
-2.6373151863761386,5.856999852792071,11.82434729669892,-16700.80712175,-849.04652374,-15851.76059801,-1827.56333037,-14024.19726763,0.341429
-2.747281904262575,6.068438556803092,12.270549081480011,-16713.74005397,-773.63736463,-15940.10268934,-1607.08627604,-14333.01641331,0.341429
-2.857248622149011,6.279877260814113,12.716750866261101,-16714.78574426,-747.79746634,-15966.98827793,-1532.66476596,-14434.32351197,0.341429
0.25774140390007433,0.8673419415055396,0.22310089239054565,-16885.60330641,-891.41104731,-15994.1922591,-2146.00832489,-13848.18393421,0.341429
0.14777468601363775,1.0787806455165607,0.6693026771716369,-16950.5352193,-971.21353643,-15979.32168287,-2626.98287305,-13352.33880983,0.341429
0.03780796812720114,1.290219349527582,1.1155044619527283,-16786.4578202,-1038.97576155,-15747.48205864,-3154.03907765,-12593.44298099,0.341429
-0.07215874975923539,1.501658053538603,1.5617062467338194,-16144.85306587,-1098.29132153,-15046.56174434,-3524.84748651,-11521.71425784,0.341429
-0.182125467645672,1.7130967575496243,2.0079080315149107,-14773.23834538,-1149.70365798,-13623.5346874,-3524.7570622,-10098.77762521,0.341429
-0.29209218553210864,1.9245354615606456,2.4541098162960022,-11057.58693591,181.95833842,-11239.54527433,-2922.9748804,-8316.57039393,0.341429
-0.40205890341854517,2.1359741655716666,2.9003116010770933,26466.93901131,33946.92040274,-7479.98139143,-1266.43239247,-6213.54899896,0.341429
-0.5120256213049816,2.3474128695826875,3.3465133858581844,1337876.80730787,1339198.81942363,-1322.01211576,2561.88472078,-3883.89683653,0.341429
-0.6219923391914182,2.5588515735937087,3.7927151706392754,9424.97717325,-8.93108408,9433.90825733,10910.12143477,-1476.21317743,0.341429
-0.7319590570778548,2.77029027760473,4.238916955420367,25756.81039841,-9.85334866,25766.66374707,24946.72328179,819.94046528,0.341429
-0.8419257749642914,2.9817289816157513,4.6851187402014585,32484.91851486,-10.22741181,32495.14592667,29696.74661423,2798.39931244,0.341429
-0.9518924928507279,3.193167685626772,5.1313205249825495,44199.74645591,-9.99249342,44209.73894932,39942.45246142,4267.2864879,0.341429
-1.0618592107371645,3.4046063896377934,5.577522309763641,495032.4365731,483887.94476844,11144.49180466,6064.72725162,5079.76455304,0.341429
-1.171825928623601,3.6160450936488147,6.023724094544733,7350.12434845,15474.03067018,-8123.90632173,-13281.45886956,5157.55254783,0.341429
-1.2817926465100375,3.8274837976598355,6.469925879325823,5170884.97376966,5178348.43367116,-7463.4599015,-11965.38484867,4501.92494717,0.341429
-1.3917593643964745,4.038922501670857,6.916127664106916,1007587.26842935,1015215.4631088,-7628.19467945,-10818.54172647,3190.34704702,0.341429
-1.501726082282911,4.2503612056818785,7.362329448888007,15591616.3893246,15602654.4373409,-11038.0480163,-12398.70849003,1360.66047373,0.341429
-1.6116928001693474,4.4617999096929,7.808531233669098,4629296.80800478,4642588.41557825,-13291.60757347,-12479.07768221,-812.52989126,0.341429
-1.721659518055784,4.673238613703921,8.254733018450189,765751.0380038,778964.15814975,-13213.12014595,-10069.46820246,-3143.65194349,0.341429
